design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
coord_amplified,pure,normal,0.2,0.5,-0.3,6,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,4,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,3,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,7,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,0,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,8,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,13,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,17,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,18,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,1,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,25,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,0,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,1,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,20,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,3,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,19,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,14,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,23,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,4,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,7,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,21,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,28,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,10,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,9,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,22,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,5,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,11,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,12,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,13,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,26,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,27,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,12,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,16,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,17,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,16,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,9,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,19,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,21,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,2,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,5,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,2,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,29,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,6,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,29,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,4,0.32,0.32,8,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,1,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,15,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,14,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,5,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,2,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,15,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,8,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,8,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,23,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,10,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,22,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,3,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,12,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,28,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,25,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,26,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,20,0.32,0.32,8,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,6,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,0,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,21,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,24,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,7,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,23,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,11,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,22,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,9,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,29,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,0,0.4,0.4,10,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,15,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,13,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,2,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,27,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,1,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,18,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,3,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,17,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,7,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,16,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.275,0.5,-0.2249999999999999,20,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,27,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,10,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,11,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,25,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,26,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,9,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,12,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,19,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,16,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,28,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,21,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,22,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,24,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.35,0.5,-0.1499999999999999,14,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,4,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,5,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,6,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,11,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.2,0.5,-0.3,24,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,26,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,8,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
coord_amplified,pure,normal,0.425,0.5,-0.0749999999999999,20,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,mistralai/mistral-small-creative,,,,
